Date,Close,High,Low,Open,Volume
,EFE.CR,EFE.CR,EFE.CR,EFE.CR,EFE.CR
2008-11-07,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,25000
2008-11-10,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-11-11,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-11-12,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-11-13,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-11-14,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-11-17,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-11-18,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-11-19,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-11-20,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-11-21,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-11-24,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-11-25,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-11-26,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-11-27,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-11-28,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-12-01,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-12-02,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-12-03,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-12-04,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-12-05,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-12-09,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-12-10,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-12-11,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-12-12,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-12-15,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-12-16,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-12-17,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-12-18,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-12-19,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-12-22,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-12-23,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-12-24,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-12-26,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-12-29,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-12-30,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2008-12-31,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-01-02,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-01-06,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-01-07,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-01-08,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-01-09,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-01-12,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-01-13,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-01-14,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-01-15,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-01-16,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-01-19,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-01-20,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-01-21,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-01-22,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-01-23,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-01-26,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-01-27,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-01-28,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-01-29,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-01-30,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-02-02,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-02-03,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-02-04,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-02-05,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-02-06,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-02-09,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-02-10,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-02-11,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-02-12,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-02-13,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-02-16,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-02-17,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-02-18,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-02-19,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-02-20,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-02-25,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-02-26,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-02-27,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-03-02,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-03-03,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-03-04,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-03-05,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-03-06,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-03-09,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-03-10,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,2085
2009-03-11,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-03-12,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-03-13,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-03-16,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-03-17,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-03-18,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-03-20,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-03-23,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-03-24,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-03-25,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-03-26,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-03-27,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-03-30,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-03-31,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-04-01,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-04-02,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-04-03,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-04-06,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-04-07,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-04-08,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-04-13,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-04-14,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-04-15,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-04-16,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-04-17,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-04-20,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-04-21,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-04-22,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-04-23,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-04-24,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-04-27,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-04-28,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-04-29,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-04-30,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-05-04,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-05-05,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-05-06,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-05-07,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-05-08,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-05-11,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-05-12,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-05-13,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-05-14,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-05-15,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-05-18,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-05-19,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-05-20,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-05-21,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-05-22,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-05-26,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-05-27,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-05-28,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-05-29,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-06-01,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-06-02,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-06-03,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-06-04,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-06-05,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-06-08,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-06-09,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-06-10,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-06-11,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-06-12,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-06-16,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-06-17,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-06-18,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-06-19,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-06-22,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-06-23,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-06-25,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-06-26,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-06-30,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-07-01,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-07-02,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-07-03,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-07-06,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-07-07,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-07-08,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-07-09,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-07-10,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-07-13,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-07-14,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-07-15,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-07-16,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-07-17,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-07-20,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-07-21,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-07-22,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-07-23,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-07-27,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-07-28,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-07-29,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-07-30,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-07-31,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-08-03,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-08-04,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-08-05,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-08-06,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-08-07,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-08-10,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-08-11,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-08-12,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-08-13,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-08-14,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-08-17,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-08-18,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-08-19,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-08-20,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-08-21,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-08-24,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-08-25,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-08-26,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-08-27,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-08-28,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-08-31,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-09-01,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-09-02,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-09-03,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-09-04,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-09-07,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-09-08,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-09-09,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-09-10,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-09-11,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-09-14,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-09-15,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-09-16,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-09-17,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-09-18,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-09-21,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-09-22,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-09-23,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-09-24,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-09-25,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-09-28,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-09-29,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-09-30,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-10-01,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-10-02,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-10-05,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-10-06,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-10-07,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-10-08,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-10-09,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-10-13,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-10-14,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-10-15,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-10-16,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-10-19,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-10-20,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-10-21,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-10-22,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-10-23,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-10-26,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-10-27,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-10-28,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-10-29,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-10-30,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-11-02,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-11-03,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-11-04,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-11-05,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-11-06,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-11-09,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-11-10,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-11-11,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-11-12,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-11-13,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-11-16,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-11-17,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-11-18,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-11-19,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-11-20,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-11-23,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-11-24,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-11-25,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-11-26,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-11-27,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-11-30,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-12-01,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-12-02,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-12-03,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-12-04,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-12-08,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-12-09,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-12-10,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-12-11,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-12-14,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-12-15,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-12-16,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-12-17,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-12-18,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-12-21,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-12-22,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-12-23,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-12-24,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-12-28,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-12-29,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-12-30,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2009-12-31,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2010-01-05,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2010-01-06,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2010-01-07,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2010-01-08,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2010-01-11,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2010-01-12,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2010-01-13,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2010-01-14,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2010-01-15,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2010-01-18,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2010-01-19,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2010-01-20,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2010-01-21,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2010-01-22,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2010-01-25,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2010-01-26,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2010-01-27,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2010-01-28,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2010-01-29,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
2010-02-01,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0
